id,genero_id,titulo,descripcion,imagen,trailer,home_carousel,recomendada,orden,activa,anio,duracion_minutos,modal,idmodal
1,1,Dracula,"Drácula es una novela de fantasía gótica escrita por Bram Stoker, publicada en 1897.​​ Publicada en castellano por Ediciones Hymsa bajo la colección La novela aventura en 1938, con portada de Juan Pablo Bocquet e ilustraciones de Femenía",/images/ficcion/dracula.jpg,https://www.youtube.com/embed/WcDFYtF8pSc?si=rba7QbAglmsX1cmX,0,1,1,1,2014,92,dracula,#dracula
2,1,2012,"Un escritor fracasado intenta llevar a su familia a un lugar seguro, mientras que el mundo se desintegra bajo el efecto de una serie de cataclismos.",/images/ficcion/2012.jpg,"https://www.youtube.com/embed/AcZ-ffVxhpo?si=QMSRV2wkw_2BOIAt"",0,0,2,1,2009,158,2012,#2012
3,1,Divergente,"En una sociedad futurista, la gente está dividida entre facciones basadas en sus personalidades. Después de que una joven descubre que ella es una divergente y nunca será de ningún grupo, revela un complot para destruir a quienes son como ella.",/images/ficcion/Divergente.jpg,https://www.youtube.com/embed/_MHJPwThKNQ?si=9kk3SZKKvToG8TBo,0,0,3,1,2016,139,divergente,#divergente
4,1,"Los juegos Del Hambre: La balada de los pajaros cantores","Años antes de convertirse en el tiránico presidente de Panem, Coriolanus Snow, de 18 años de edad, ve una oportunidad para un cambio de suerte cuando es mentor de Lucy Gray Baird, la tributo del Distrito 12.",/images/ficcion/HunterGames.jpg,https://www.youtube.com/embed/HgO58Q3I5J0?si=Wcwu21aeZpFAsudY,0,1,4,1,2023,157,juegosDelHambre,#juegosDelHambre
5,1,"Planeta de los simios: Nuevo Reino","Muchos años después de la época de César, los simios se han dividido en clanes y los hombres se han vuelto salvajes. Un clan brutal secuestra a la tribu del chimpancé Noa, pero, con la ayuda de una humana, emprende la misión de rescatarlos.",/images/ficcion/planetaDeLosSimios.jpg,https://www.youtube.com/embed/OcBktw-5QlE?si=c40S15CuqHFGni0F,1,0,5,1,2024,115,planetaDeLosSimios,#planetaDeLosSimios
6,1,"Guerra Mundial Z","Cuando una pandemia de zombis amenaza con destruir a la humanidad, un exinvestigador de Naciones Unidas es obligado a regresar al servicio para intentar descubrir la fuente de la infección.",/images/ficcion/guerraMundialZ.jpg,https://www.youtube.com/embed/M0T0EPJIg7A?si=h1K83jggwxwwKKvP,0,0,6,1,2013,116,guerraMundialZ,#guerraMundialZ
7,2,Anabelle,"John Form encuentra el regalo perfecto para Mia, su esposa embarazada: una preciosa muñeca antigua llamada Annabelle. Una noche, una secta satánica les ataca brutalmente y provocan que un ente maligno se apodere de Annabelle.",/images/terror/Annabelle.jpg,https://www.youtube.com/embed/8kmLHwKH31M?si=bHbN1Upv1NSsnCnA,1,0,7,1,2014,95,annabelle,#annabelle
8,2,It,"Varios niños de una pequeña ciudad del estado de Maine se alían para combatir a una entidad diabólica que adopta la forma de un payaso y desde hace mucho tiempo emerge cada 27 años para saciarse de sangre infantil.",/images/terror/it.jpg,https://www.youtube.com/embed/_oBZ_zTz0Nw?si=8waQULEs_tp_SvC5,0,1,8,1,2017,135,it,#it
9,2,"La Monja","Una monja se suicida en una abadía rumana y el Vaticano envía a un sacerdote y una novicia a investigar lo sucedido. Lo que ambos encuentran allá es un secreto perverso que los enfrentará cara a cara con el mal en su esencia más pura.",/images/terror/laMonja.jpg,https://www.youtube.com/embed/AKpPeLAMY9I?si=YpdgWlkcTVnVMCja,0,0,9,1,2018,96,laMonja,#laMonja
10,2,"Un lugar en Silencio","En el año 2020, unas criaturas misteriosas con un sentido auditivo extraordinario han diezmado a la población mundial. Una familia se oculta en una cabaña y se comunica mediante la lengua de signos para no ser cazados por estos monstruos.",/images/terror/unLugarEnSilencio.jpg,https://www.youtube.com/embed/VWRNNpoar-E?si=Cbj_mzLvqaK8uoYj,0,1,10,1,2018,90,unLugarEnSilencio,#unLugarEnSilencio
11,2,Scream,"Sam, Tara, Chad y Mindy, los cuatro supervivientes de la matanza de Woodsboro, abandonan el pueblo para empezar de cero en Nueva York. Sin embargo, Ghostface los persigue hasta la gran ciudad para terminar con todos ellos.",/images/terror/Scream.jpg,https://www.youtube.com/embed/03n1lgk8E9U?si=9VYdoe__kRBreVrG,0,0,11,1,2023,122,scream,#scream
12,2,Smile,"Tras presencia el dramático incidente sufrido por un paciente, la Dra. Cotter empieza a experimentar hechos aterradores sin explicación aparente. A medida que el horror se adueña de su vida, comprende que la respuesta está en su propio pasado.",/images/terror/Smile.jpg,https://www.youtube.com/embed/yhKiQGJop_8?si=0yCZxHfqC3PJkba1,0,0,12,1,2022,115,smile,#smile
